Name,Library,SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
BMS 599626 2HCl (873837-23-1(HCl)),Targetmol 3338,Cl.Cl.Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4n(Cc5cccc(F)c5)ncc4c3)c12,1.94e-06,1654.714519,26.76900947,22.04166077,23.67465393,19.03000978,12.58212949,12.58212949,9.349755506,9.349755506,6.603590125,6.603590125,4.662946895,4.662946895,6.093240071,9.184952232,0.0,43.28000996,31.26376939,39.77867131,18.46005421,22.97545211,35.87100841,31.13170795,9.473725908,602.1723704,1.219512195,2.097560976,2.902439024,0.259259259,-3.97,41,574.254,1258993203.0,29.99929551,13.12923421,6.680426597,246.7840262,13.59440932,0.447556181,13.59440932,0.411234213,0.0,0.411234213,-0.551340114,-0.447556181,4.69892,158.3181,603.486,3,11,0,1,1,2,3,5,10,3,14,0,7,0,1,1,216,20.10730312,24.2681236,5.817862778,0.0,0.0,6.093240071,9.998591539,18.68432865,10.19736362,24.81406632,12.13273414,42.81902403,23.18181839,49.3981353,6,18.65867814,64.51956737,0.0,29.69533157,0.0,19.51033443,36.99897951,78.12970052,0,0.0,15.95036581,26.37758756,0.0,24.81406632,62.87902617,16.01848231,12.74095804,11.12690298,61.1855767,0.0,16.41962565,0,119.63,27.84734021,0.0,16.86605258,19.11100644,4.657006804,0.313296975,12.34736696,4.395156689,4.46277334,0.0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245145194
BMS986142,Targetmol 3338,Cc1c(cccc1-n1c(=O)n(C)c2c(F)cccc2c1=O)-c1c(F)cc(C(N)=O)c2[nH]c3C[C@H](CCc3c12)C(C)(C)O,1.647114233,2081.914545,30.24782971,23.63978737,23.63978737,19.80645677,13.69552906,13.69552906,11.63854979,11.63854979,8.728377861,8.728377861,6.467510077,6.467510077,34.39168252,23.88055399,4.390415048,33.63512024,41.29229278,26.45794585,25.24677319,38.9703128,0.0,4.983978521,5.733667477,572.2235119,1.119047619,1.833333333,2.523809524,0.28125,-4.57,42,542.372,2156189073.0,27.59256702,9.486524778,4.003048503,238.5706715,16.0914483,0.390169171,16.0914483,0.335468878,0.010102623,0.335468878,-0.92786413,-0.390169171,4.39902,157.0624,572.612,4,8,1,0,1,3,2,5,6,3,10,0,4,0,0,0,216,15.82417339,11.63444168,0.0,0.0,11.46644662,5.689743398,14.15617402,18.14246693,0.0,0.0,18.19910121,86.90740526,23.69127568,33.27151423,6,18.68189467,27.71302959,0.0,14.11817782,18.69924551,45.63472728,0.0,97.32137829,0,16.81428926,16.98267777,8.780830095,0.0,0.0,30.73293575,19.88931523,24.47608493,47.44711568,52.05364385,0.0,38.62013912,0,123.11,32.72689968,0.0,42.66146739,11.19755701,6.53757518,-2.19911083,10.0403228,1.696351219,5.198409291,1.39052826,0,1,0,0,0,3,1,0,0,0,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295474686
Ellagic acid,Targetmol 3338,Oc1c(O)c2c3c(c1)c(=O)oc1c3c(cc(O)c1O)c(=O)o2,2.554066874,1101.712243,15.75663036,10.57654808,10.57654808,10.39675461,6.023872601,6.023872601,4.771007214,4.771007214,3.549650359,3.549650359,2.581025042,2.581025042,45.41526025,30.01518395,0.0,21.54489686,0.0,12.13273414,0.0,0.0,0.0,0.0,8.834301874,302.0062672,0.681818182,1.045454545,1.409090909,0.0,-3.42,22,296.146,113219.8613,12.33049668,3.611607289,1.257168662,118.5650345,11.99623772,0.504142834,11.99623772,0.344105857,0.005972222,0.344105857,-0.940880574,-0.504142834,1.3128,73.8772,302.194,4,8,0,0,0,2,2,4,8,4,8,0,0,0,0,0,110,29.26041145,0.0,22.66506395,11.49902367,0.0,11.25117264,0.0,9.589074368,0.0,0.0,0.0,12.13273414,10.77244843,10.77244843,4,29.26041145,32.71093714,0.0,0.0,0.0,0.0,0.0,32.97298114,0,22.99804733,11.25117264,0.0,22.99804733,0.0,20.42610958,0.0,0.0,0.0,30.55611038,0.0,32.71093714,0,141.34,9.86675548,0.0,23.99247543,38.65848492,-2.695668934,-2.751175779,1.929128874,0.0,0.0,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216284536
Everolimus,Targetmol 3338,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1OCCO,1.696795313,1809.06472,50.29358901,42.43319268,42.43319268,32.28758813,25.00642651,25.00642651,20.15622352,20.15622352,14.87647057,14.87647057,10.4941753,10.4941753,77.76223202,39.2922681,0.0,74.12830439,63.36049914,11.99392615,12.00970727,41.06682679,58.07504933,0.0,28.42117772,957.5813563,0.852941176,1.588235294,2.264705882,0.754716981,-3.41,68,874.576,212329000000000.0,57.17129658,27.26301013,15.29533481,404.565921,14.45791231,0.460091562,14.45791231,0.328662805,0.015799326,0.328662805,-2.433454897,-0.460091562,6.1972,255.9564,958.24,3,15,1,3,4,0,0,0,14,3,15,0,9,1,2,3,384,48.64066964,30.13698494,5.783244946,5.787111153,11.69042468,5.969305288,19.17814874,4.794537184,0.0,0.0,71.07480664,106.9556178,58.46951041,37.62962948,4,67.71344583,29.22621986,0.0,4.899909731,35.50743628,180.0727366,41.08791296,47.6023297,0,0.0,0.0,0.0,0.0,0.0,145.0903414,52.39386364,35.50743628,125.5160199,47.6023297,0.0,0.0,0,204.66,35.55577254,0.0,72.12992678,32.79229502,1.264651579,-7.961755021,-1.144922472,11.98928188,12.87400825,4.584074774,0,3,2,0,0,0,0,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133923869
gamma-Mangostin,Targetmol 3338,CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C(C(=C(C=C3O2)O)O)CC=C(C)C)O)C,2.431298483,1236.413795,21.45530097,16.8289656,16.8289656,13.61196866,9.262453796,9.262453796,7.594361211,7.594361211,4.793415128,4.793415128,3.243944202,3.243944202,16.92781406,25.22064676,0.0,57.40605861,0.0,17.21257613,6.066367068,0.0,39.84698901,0.0,4.417150937,396.1572885,0.793103448,1.310344828,1.896551724,0.260869565,-3.41,29,372.247,1912234.019,20.32749872,7.543955716,3.655476485,167.2082212,13.30900006,0.507374133,13.30900006,0.204233013,0.003051881,0.204233013,-0.537355442,-0.507374133,4.786,112.9192,396.439,4,6,0,0,0,2,1,3,6,4,6,0,4,0,0,0,152,24.84326052,28.05128816,11.49902367,5.428790392,0.0,0.0,4.794537184,0.0,0.0,0.0,23.29824927,40.53659204,23.25963712,5.386224214,3,24.84326052,21.93848871,0.0,0.0,0.0,40.53659204,0.0,56.78121397,0,22.99804733,5.428790392,0.0,22.99804733,0.0,20.42610958,12.84164325,0.0,38.82185178,44.64267153,0.0,21.93848871,0,111.13,5.7253536,0.0,13.30900006,41.48025534,1.933550334,-1.354532501,2.436947568,4.096784149,7.539308118,0.0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286722547
Gamma-Oryzanol,Selleck,COC1=CC(=CC=C1O)/C=C/C(=O)OC2CCC34CC35CCC6(C)C(CCC6(C)C5CCC4C2(C)C)C(C)CCC=C(C)C,1.151111669,1336.581146,31.70853153,28.80098602,28.80098602,20.7376203,17.63086689,17.63086689,17.03797838,17.03797838,14.84897426,14.84897426,12.4756261,12.4756261,0.0,9.901064579,0.0,23.23777398,33.32737976,29.73799125,82.96713841,24.27512131,0.0,54.5421805,9.473725908,602.4335103,0.977272727,1.704545455,2.431818182,0.725,-2.23,44,544.436,5487188657.0,31.74030958,10.94129713,4.618401407,266.6139195,13.06513082,0.504254344,13.06513082,0.33055788,0.030472452,0.33055788,-0.276007167,-0.504254344,10.1474,178.2858,602.9,1,4,5,0,5,1,0,1,4,1,4,0,8,5,0,5,242,14.5802533,6.103966388,11.49902367,0.0,0.0,5.969305288,0.0,4.794537184,0.0,0.0,52.3341777,153.580304,11.49101058,7.109797541,6,19.37479049,12.04532539,0.0,0.0,50.74657653,125.1991646,7.109797541,41.48769744,0,11.49902367,4.736862954,0.0,11.49902367,0.0,24.28959661,9.531400138,50.74657653,124.6586497,35.92424595,0.0,6.076020107,0,55.76,11.44854652,0.0,13.06513082,9.883111117,4.077705209,3.326398224,5.085548203,20.09910574,17.23901022,1.525443951,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18271705
Ginkgetin,Targetmol 3338,COc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(OC)c(c1)-c1c(O)cc(O)c2c1oc(cc2=O)-c1ccc(O)cc1,1.621524288,2139.918067,29.70601334,22.16654736,22.16654736,20.17627415,12.54006936,12.54006936,9.425341059,9.425341059,6.884681064,6.884681064,4.890782688,4.890782688,22.35660445,30.01518395,0.0,67.58393387,11.12690298,6.066367068,50.61779749,30.33183534,0.0,0.0,18.30802778,566.1212969,0.619047619,1.261904762,1.952380952,0.0625,-5.9,42,544.342,2749942982.0,26.32920774,9.93344326,4.310334798,236.0326023,13.17744314,0.507966213,13.17744314,0.196603316,0.014820794,0.196603316,-0.567150648,-0.507966213,5.74,154.5972,566.518,4,10,0,0,0,4,2,6,10,4,10,0,5,0,0,0,210,38.73413736,62.37303441,16.44060093,0.0,0.0,0.0,9.589074368,0.0,0.0,0.0,0.0,42.46456948,47.02218982,19.78304657,6,38.73413736,21.93848871,0.0,0.0,0.0,0.0,14.21959508,93.24305997,0,68.2713718,20.33130669,0.0,34.497071,0.0,34.64570466,0.0,0.0,0.0,91.21978106,0.0,55.71278952,0,159.8,22.82714162,0.0,26.12725599,41.46780248,0.083478041,-0.329605229,16.99097839,0.0,0.0,2.832948703,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202585985
Gossypol,Targetmol 3338,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,2.274743429,1554.015919,28.37543251,21.96387977,21.96387977,17.79190654,12.18184746,12.18184746,10.27349547,10.27349547,7.224759056,7.224759056,5.602129534,5.602129534,34.497071,40.22823874,0.0,44.86206649,45.59857544,0.0,0.0,53.67515734,0.0,0.0,0.0,518.1940679,0.552631579,0.868421053,1.131578947,0.266666667,-4.46,38,488.322,141736305.7,26.59874031,9.13110351,3.510572434,218.5896942,12.00058643,0.506613752,12.00058643,0.168751639,0.005120885,0.168751639,-0.661136781,-0.506613752,6.38224,145.3058,518.562,6,8,0,0,0,4,0,4,8,6,8,0,5,0,0,0,198,30.63916437,11.49902367,35.57036838,0.0,0.0,0.0,9.589074368,0.0,0.0,0.0,39.82768294,47.5826379,33.0262544,11.12690298,4,40.22823874,34.1172179,0.0,0.0,0.0,53.37823529,0.0,45.51344309,0,45.62397398,0.0,0.0,34.497071,0.0,43.21148542,0.0,13.8474744,82.50054421,12.13273414,0.0,32.67179984,0,155.52,0.0,0.0,24.00117286,66.37135146,1.330878504,-3.572998573,3.312365205,0.681857051,10.54204015,0.0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131235769
Herbacetin,Targetmol 3338,C1=CC(=CC=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O,2.43084056,938.9926828,16.01614338,10.9393159,10.9393159,10.39675461,6.129123899,6.129123899,4.623340518,4.623340518,3.20516873,3.20516873,2.120237806,2.120237806,39.39608208,30.32717416,0.0,17.07321074,0.0,6.066367068,24.26546827,0.0,0.0,0.0,4.417150937,302.0426527,0.818181818,1.454545455,2.090909091,0.0,-3.35,22,292.158,92420.77377,13.6247375,4.589937947,1.873870721,122.1076695,12.1615577,0.507966213,12.1615577,0.23843859,0.023599983,0.23843859,-0.96099537,-0.507966213,1.988,76.244,302.238,5,7,0,0,0,2,1,3,7,5,7,0,1,0,0,0,112,29.94978791,16.88524788,17.09277939,16.92781406,0.0,0.0,4.794537184,0.0,0.0,0.0,0.0,24.26546827,11.62981856,0.0,3,29.94978791,10.96924436,0.0,0.0,0.0,0.0,0.0,40.55516292,0,40.07125808,5.428790392,0.0,28.74755917,0.0,25.53263697,0.0,0.0,0.0,39.54352346,0.0,22.29294327,0,131.36,5.290136999,0.0,12.1615577,47.77635476,-1.155525321,-3.089887041,6.184029576,0.0,0.0,0.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34284863
Morin,Selleck,OC1=CC(=C(C=C1)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O)O,2.407728671,956.2426828,16.01614338,10.9393159,10.9393159,10.37991785,6.123140835,6.123140835,4.648401036,4.648401036,3.161294013,3.161294013,2.169721253,2.169721253,22.67732589,30.32717416,0.0,33.79196693,0.0,18.19910121,12.13273414,0.0,0.0,0.0,4.417150937,302.0426527,0.818181818,1.5,2.181818182,0.0,-3.35,22,292.158,83673.62148,13.6247375,4.589937947,1.956867218,122.1076695,12.15011401,0.507822516,12.15011401,0.238291222,0.030432729,0.238291222,-0.915532407,-0.507822516,1.988,76.244,302.238,5,7,0,0,0,2,1,3,7,5,7,0,1,0,0,0,112,29.94978791,33.96729169,5.760247419,11.17830223,0.0,0.0,4.794537184,0.0,0.0,0.0,0.0,12.13273414,18.19910121,5.563451492,3,29.94978791,10.96924436,0.0,0.0,0.0,0.0,0.0,40.55516292,0,40.07125808,5.428790392,0.0,28.74755917,0.0,25.53263697,0.0,0.0,0.0,39.54352346,0.0,22.29294327,0,131.36,5.330183296,0.0,12.15011401,47.92316682,-1.110062358,-2.656421013,5.529685913,0.0,0.0,0.0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464146274
